Time,/fdm/jsbsim/fcs/right-aileron-pos-norm,/fdm/jsbsim/fcs/elevator-pos-norm,/fdm/jsbsim/fcs/rudder-pos-norm,/fdm/jsbsim/fcs/throttle-pos-norm,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/vg-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/flight-path/gamma-rad,/fdm/jsbsim/flight-path/psi-gt-rad,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/ap/attitude_hold,/fdm/jsbsim/ap/altitude_hold,/fdm/jsbsim/ap/heading_hold,/fdm/jsbsim/ap/velocity_hold,/fdm/jsbsim/ap/heading_setpoint,/fdm/jsbsim/ap/altitude_setpoint,/fdm/jsbsim/ap/velocity_setpoint,/fdm/jsbsim/ap/aileron_cmd,/fdm/jsbsim/ap/elevator_cmd,/fdm/jsbsim/ap/throttle_cmd,/fdm/jsbsim/fcs/heading-error,/fdm/jsbsim/fcs/heading-corrected,/fdm/jsbsim/fcs/altitude-error,/fdm/jsbsim/fcs/velocity-error,/fdm/jsbsim/fcs/hdot-error
35.3498586,-0.0315525324112220437,0.00113316940337775097,0,0.620430650228876002,93.3350691034759592,-0.242371873664570359,-2.05068035589796693,93.0316930570620713,93.3579089236570354,-1.3545524387610115,0.0409092242593458999,0.0390094098829720792,0.0836216095362646433,5.34128673898864026,-0.115832723016428829,3.53283265024771342,306.18501094288996,172.273434098809958,37.4322699435074995,-122.367014674613429,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0315525324112220437,0.00113316940337775097,0.620430650228876002,-10.5432745612082961,-0.349999999999999978,40,1.63075911488824943,-0.0407030228417211148
35.3998584,-0.0318907164265510717,0.00177049280481779967,0,0.626125896406103055,93.2687518507100322,-0.240121678530655913,-2.04831706786760748,92.9583356700023558,93.2915501694571816,-1.29814120025470925,0.0516381977561532757,0.0501255975983099233,0.0845444570433890319,5.34155262039323819,-0.120077755251552454,3.58627280469181686,306.199068275320599,172.665325596928596,37.4322774340156954,-122.367027638629651,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0318907164265510717,0.00177049280481779967,0.626125896406103055,-10.54351990794326,-0.349999999999999978,40,1.69758522312136506,-0.0501109321398267582
35.4498582,-0.0322400355080689274,0.00258900808061367487,0,0.631924607328322896,93.2052561261840111,-0.237424297573088694,-2.04577921951973352,92.8878033375064973,93.228007339316548,-1.2418244881778151,0.0582972427843895247,0.0455302305130018681,0.0854562167020053998,5.34181362482996924,-0.124609899495749202,3.6392236610807851,306.21256980869515,173.06120490655303,37.4322849214391411,-122.367040590133414,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0322400355080689274,0.00258900808061367487,0.631924607328322896,-10.5437555541547141,-0.349999999999999978,40,1.7615980045759585,-0.0623103062131615815
35.499858,-0.0325959051311532216,0.00358612053188821093,0,0.637810319288245831,93.1445669060809678,-0.234484496841112389,-2.04373025649716311,92.8200850869380929,93.1672805252035658,-1.1859596163481958,0.0608376495589610378,0.029421835930747875,0.0863585328091753673,5.34206916882882243,-0.12941024995654582,3.69137173148945053,306.225608490283889,173.46103198081255,37.4322924059469173,-122.367053529569404,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0325959051311532216,0.00358612053188821136,0.637810319288245831,-10.543983122078556,-0.349999999999999978,40,1.8227933682672699,-0.0772835374998921409
35.5498578,-0.0329544354779455068,0.00473820321508902891,0,0.643767298295221391,93.0866598322995173,-0.231497152937397033,-2.04262274944371924,92.7551880677779224,93.1093557993105776,-1.13057076524607725,0.0597739488471307756,0.00637057827776743579,0.0872490267890825288,5.34231897475429118,-0.134451375549010738,3.74230160203691042,306.238288706501407,173.864765018224716,37.4322998877039055,-122.367066457385619,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0329544354779455068,0.00473820321508902891,0.643767298295221391,-10.5442044336014167,-0.349999999999999978,40,1.88118400093789262,-0.0946468161104547789
35.5998576,-0.0333127195603317855,0.00600809701367081839,0,0.649780547266845088,93.031515356002771,-0.228622958486656813,-2.04269533341487275,92.6931419489444721,93.0542192601522373,-1.07545283841717998,0.0560047811452700217,-0.0193377987091452042,0.0881226594556226567,5.34256303859381987,-0.139700822590295037,3.7915765366591021,306.250709385484413,174.272344887256622,37.4323073668754276,-122.367079374033736,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0333127195603317855,0.00600809701367081839,0.649780547266845088,-10.5444212153450039,-0.349999999999999978,40,1.93678458926000019,-0.113778306840647048
35.6498574,-0.0336689258846969985,0.00735243739928487846,0,0.655835752388070903,92.9791276236667272,-0.225973551781379456,-2.04399631350577238,92.6339980808692331,93.0018664255392196,-1.02027578036173638,0.0506134657620641581,-0.0441412334212074597,0.0889730816059206842,5.34280156793904037,-0.145124585489896679,3.83880187216703206,306.262951202861188,174.683686047792435,37.4323148436315947,-122.367092279969796,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0336689258846969985,0.00735243739928487933,0.655835752388070903,-10.5446348753646557,-0.349999999999999978,40,1.98960163723893402,-0.133944323756193029
35.6998572,-0.0340222213878179497,0.00872797890654411143,0,0.661919194100943464,92.9295083857331861,-0.223606356797553474,-2.04642393531271694,92.5778248040772951,92.952307015694231,-0.964677628727177883,0.0446814952890972616,-0.0654414588253828811,0.0897938145117112424,5.34303490445416607,-0.150690069755500977,3.88366823496087887,306.275068905333285,175.098673384636641,37.4323223181506677,-122.367105175655297,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0340222213878179497,0.00872797890654411143,0.661919194100943464,-10.5448463691705712,-0.349999999999999978,40,2.03962794252080926,-0.154408887901162473
35.749857,-0.0343725703137824634,0.0100964209706736058,0,0.668017645917931446,92.8826866928698394,-0.221527949879952502,-2.04977435761417226,92.5247004068881864,92.9055656935338448,-0.908338703190129326,0.0391393036244179204,-0.0816722389652468905,0.090579163274431912,5.343263444539887,-0.156368238513677787,3.92597453030360599,306.287088821380507,175.517164006829262,37.4323297906210541,-122.367118061558287,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0343725703137824634,0.0100964209706736058,0.668017645917931446,-10.545056156281408,-0.349999999999999978,40,2.08684123788746945,-0.174517846568072343
35.7998568,-0.0347204635404333717,0.0114275361671201444,0,0.674118279865152048,92.8387054300011556,-0.21970378103945265,-2.05378987056823448,92.4747051648376299,92.8616796558320914,-0.851033143857185648,0.0346681215600302683,-0.0922321009089088761,0.0913248213097764133,5.34348756946798087,-0.162134812767594755,3.96563292528355493,306.299010870831864,175.93899243324995,37.4323372612420116,-122.367130938153963,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0347204635404333717,0.0114275361671201444,0.674118279865152048,-10.5452642352979211,-0.349999999999999978,40,2.13120614559602473,-0.193753903431760577
