Time,/fdm/jsbsim/fcs/right-aileron-pos-norm,/fdm/jsbsim/fcs/rudder-pos-norm,/controls/engines/engine/throttle,/fdm/jsbsim/external_reactions/engine/magnitude,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/vg-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/fcs/velocity-error,/fdm/jsbsim/ap/aileron_cmd,/fdm/jsbsim/ap/throttle_cmd,/fdm/jsbsim/ap/rudder_cmd,/fdm/jsbsim/fcs/heading-error,/fdm/jsbsim/ap/heading_setpoint,/fdm/jsbsim/ap/velocity_setpoint
45.1498194,0,0,0,962.216359709009453,87.1194174273081643,-0.00676049519822541356,-2.02102509316643975,87.1428567437272363,87.1428567411297905,296.043629975551369,1.05547723174095154,37.4315942737452758,-122.366824387946593,7.85714430515974982,0,0.801846966424174523,0,-10.3662740726291513,-5.19933800000000002,95
45.1998192,0,0,0,962.216074190594099,87.1194237476512683,-0.00676062351183404076,-2.02102524122364002,87.1428630710090175,87.1428630632165806,296.041587082246792,1.05547722801566124,37.4315995106813304,-122.366837886866918,7.85713799559519543,0,0.801846728492161764,0,-10.3662384174147206,-5.19933800000000002,95
45.249819,0,0,0,962.215765443891087,87.1194301399821427,-0.00676075188465574684,-2.02102539673512638,87.1428694704322879,87.1428694574446752,296.039544150160907,1.05547722801566124,37.4316047472355464,-122.366851386024337,7.85713161296676788,0,0.801846471203242595,0,-10.3662027615234251,-5.19933800000000002,95
45.2998188,0,0,0,962.215434191807844,87.1194365801638924,-0.00676088024174603675,-2.02102556060315663,87.142875899704606,87.1428758997045776,296.037501183007862,1.05547722429037094,37.4316099834079097,-122.366864885418806,7.85712516310637454,0,0.801846195159839903,0,-10.3661671050200965,-5.19933800000000002,95
45.3498186,0,0,0,962.215081256089206,87.1194430990306046,-0.00676100859787354125,-2.02102573377449701,87.1428824260396198,87.1428824208440318,296.035458173327413,1.05547722056508064,37.4316152191984273,-122.366878385050356,7.8571186699868889,0,0.801845901046741028,0,-10.3661314477745208,-5.19933800000000002,95
45.3998184,0,0,0,962.214707257651639,87.1194496728021477,-0.0067611369325852877,-2.02102591764273498,87.1428890075129488,87.1428889971216307,296.033415124847181,1.05547722056508064,37.4316204546070708,-122.366891884918985,7.85711210246353176,0,0.8018455893813764,0,-10.3660957898517641,-5.19933800000000002,95
45.4498182,0,0,0,962.214312905086899,87.1194562963351871,-0.00676126526201770162,-2.02102611046523606,87.1428956389422353,87.1428956233550167,296.031372037575125,1.05547721683979034,37.4316256896338402,-122.366905385024666,7.85710548415360677,0,0.80184526075423912,0,-10.3660601312519596,-5.19933800000000002,95
45.499818,0,0,0,962.213898955059676,87.1194629472677349,-0.00676139365404893056,-2.02102630018605467,87.1429022795066999,87.1429022769086146,296.029328915276267,1.05547721683979034,37.4316309242787142,-122.36691888536744,7.85709883794976349,0,0.801844915795883018,0,-10.3660244720408237,-5.19933800000000002,95
45.5498178,0,0,0,962.21346612177706,87.1194696561382358,-0.00676152208223257389,-2.02102650124047045,87.1429089964417756,87.1429089886474202,296.027285750486897,1.05547721683979034,37.4316361585416928,-122.366932385947237,7.85709213273713658,0,0.801844555101480894,0,-10.3659888120880908,-5.19933800000000002,95
45.5998176,0,0,0,962.213015040990854,87.1194764007883862,-0.00676165050436949855,-2.02102670490649317,87.1429157492076598,87.1429157362168354,296.025242546931452,1.05547721683979034,37.4316413924227547,-122.366945886764071,7.85708539071553957,0,0.801844179200825735,0,-10.3659531514587577,-5.19933800000000002,95
45.6498174,0,0,0,962.212546402520957,87.1194831580598503,-0.00676177889052453907,-2.02102691723479566,87.1429224966050811,87.1429224966050526,296.023199308334824,1.05547721683979034,37.4316466259218927,-122.366959387817943,7.85707861699525267,0,0.801843788668767488,0,-10.3659174902178428,-5.19933800000000002,95
45.6998172,0,0,0,962.212060990315649,87.1194899598344961,-0.00676190724957237421,-2.02102714277890172,87.1429293069878383,87.1429293017909856,296.021156027231655,1.05547720938920975,37.4316518590390928,-122.366972889108879,7.8570718339897212,0,0.801843384158596351,0,-10.3658818282350502,-5.19933800000000002,95
45.749817,0,0,0,962.211559382957603,87.1194967839317513,-0.00676203561488719629,-2.02102738125768866,87.1429361399873414,87.1429361295935081,296.019112707366901,1.05547720938920975,37.4316570917743476,-122.366986390636782,7.85706500981603995,0,0.801842966152464642,0,-10.3658461655757392,-5.19933800000000002,95
45.7998168,0,0,0,962.211042237988863,87.1195036271974033,-0.00676216396423257038,-2.02102761953501542,87.1429429921456347,87.1429429765545933,296.017069348740108,1.05547720566391945,37.4316623241276432,-122.366999892401751,7.8570581656641707,0,0.801842535198324047,0,-10.3658105022399027,-5.19933800000000002,95
45.8498166,0,0,0,962.210510256196585,87.1195104673168004,-0.0067622922329668711,-2.02102786194520334,87.1429498230648392,87.1429498204661144,296.015025955061219,1.05547720193862915,37.4316675560989651,-122.367013394403685,7.85705132413737317,0,0.801842091880163865,0,-10.3657748382922907,-5.19933800000000002,95
45.8998164,0,0,0,962.209964093652502,87.1195173370219038,-0.00676242049197028905,-2.02102811119504011,87.1429567019102649,87.1429566941140195,296.01298251887755,1.05547720193862915,37.4316727876882851,-122.367026896642656,7.85704445216094882,0,0.801841636744710429,0,-10.3657391736028313,-5.19933800000000002,95
45.9498162,0,0,0,962.209404321398097,87.1195242144755611,-0.00676254868441006352,-2.02102836948126807,87.1429635887119787,87.1429635757179568,296.010939043906546,1.05547719821333885,37.4316780188956244,-122.367040399118565,7.85703757163764749,0,0.801841170267831749,0,-10.365703508236404,-5.19933800000000002,95
